Date,Time,Open,High,Low,Close,Tickvol,Spread
2019-12-09,08:00:00,1.62004,1.62293,1.61994,1.62277,5007,14
2019-12-09,12:00:00,1.62278,1.62366,1.61934,1.62049,5392,14
2019-12-09,16:00:00,1.62048,1.62083,1.6183,1.61944,4359,14
2019-12-09,20:00:00,1.61944,1.62189,1.61913,1.62081,3003,14
2019-12-10,00:00:00,1.62081,1.62163,1.61915,1.62015,4564,14
2019-12-10,04:00:00,1.62015,1.62203,1.61969,1.62079,3623,14
2019-12-10,08:00:00,1.6208,1.62717,1.6208,1.62662,5961,14
2019-12-10,12:00:00,1.62662,1.62892,1.62507,1.62892,7003,14
2019-12-10,16:00:00,1.62891,1.62909,1.62734,1.62814,4833,14
2019-12-10,20:00:00,1.62817,1.62943,1.62787,1.62854,3931,14
2019-12-11,00:00:00,1.62855,1.62962,1.6275,1.62782,5145,14
2019-12-11,04:00:00,1.62783,1.62803,1.62499,1.62524,4088,14
2019-12-11,08:00:00,1.62524,1.62528,1.61984,1.6207,5844,14
2019-12-11,12:00:00,1.62069,1.62069,1.61765,1.61775,6582,14
2019-12-11,16:00:00,1.61773,1.61794,1.61544,1.61697,6426,14
2019-12-11,20:00:00,1.61697,1.6209,1.61697,1.62039,4410,14
2019-12-12,00:00:00,1.62041,1.62042,1.61723,1.61851,4461,14
2019-12-12,04:00:00,1.6185,1.61934,1.61819,1.61827,3415,14
2019-12-12,08:00:00,1.61825,1.61865,1.61491,1.61533,5946,14
2019-12-12,12:00:00,1.61533,1.61777,1.61043,1.61118,9168,14
2019-12-12,16:00:00,1.61113,1.61266,1.60949,1.61071,7335,14
2019-12-12,20:00:00,1.61071,1.61506,1.60994,1.61475,7676,14
2019-12-13,00:00:00,1.61476,1.61615,1.61282,1.6133,6951,14
2019-12-13,04:00:00,1.6133,1.61468,1.61172,1.61267,6019,14
2019-12-13,08:00:00,1.61268,1.61732,1.61263,1.61623,7503,14
2019-12-13,12:00:00,1.61622,1.62337,1.61131,1.62015,10929,14
2019-12-13,16:00:00,1.62013,1.62068,1.61728,1.61905,6478,14
2019-12-13,20:00:00,1.61903,1.61919,1.61697,1.6171,2122,14
2019-12-15,20:00:00,1.616,1.6193,1.61592,1.6181,2163,20
2019-12-16,00:00:00,1.6181,1.61899,1.61623,1.61833,5528,14
2019-12-16,04:00:00,1.61833,1.62205,1.61833,1.62046,4650,14
2019-12-16,08:00:00,1.62045,1.62089,1.61746,1.61811,6433,14
2019-12-16,12:00:00,1.61811,1.61866,1.615,1.61522,6286,14
2019-12-16,16:00:00,1.61521,1.618,1.61491,1.61771,4822,14
2019-12-16,20:00:00,1.61772,1.62085,1.61743,1.62024,4010,14
2019-12-17,00:00:00,1.62021,1.62356,1.61942,1.62322,5356,14
2019-12-17,04:00:00,1.62322,1.62522,1.62226,1.62469,4385,14
2019-12-17,08:00:00,1.62468,1.63012,1.62448,1.6288,7183,14
2019-12-17,12:00:00,1.62879,1.63135,1.62672,1.62732,7241,14
2019-12-17,16:00:00,1.6273,1.62901,1.62626,1.62756,5047,14
2019-12-17,20:00:00,1.62758,1.62837,1.62484,1.6276,3407,14
2019-12-18,00:00:00,1.62761,1.6282,1.62629,1.62656,4523,14
2019-12-18,04:00:00,1.62656,1.62785,1.62499,1.62721,4194,14
2019-12-18,08:00:00,1.6272,1.6272,1.62317,1.62392,5738,14
2019-12-18,12:00:00,1.62389,1.62389,1.62004,1.62155,6716,14
2019-12-18,16:00:00,1.62157,1.6227,1.62092,1.6219,4767,14
2019-12-18,20:00:00,1.62192,1.62271,1.62117,1.62146,3552,14
2019-12-19,00:00:00,1.62145,1.62145,1.61717,1.6184,4874,14
2019-12-19,04:00:00,1.6184,1.61848,1.61666,1.6179,4108,14
2019-12-19,08:00:00,1.6179,1.62074,1.61738,1.61929,6002,14
2019-12-19,12:00:00,1.61927,1.62012,1.61564,1.61592,7519,14
2019-12-19,16:00:00,1.61589,1.61682,1.61528,1.6154,5326,14
