Date,Time,Open,High,Low,Close
2020-03-04,12:00:00,1.68321,1.68343,1.67748,1.68236
2020-03-04,16:00:00,1.68234,1.68532,1.68196,1.68423
2020-03-04,20:00:00,1.6842,1.68436,1.67987,1.6803
2020-03-05,00:00:00,1.68031,1.68506,1.68031,1.68246
2020-03-05,04:00:00,1.68249,1.68288,1.67783,1.67805
2020-03-05,08:00:00,1.67807,1.68975,1.67797,1.68959
2020-03-05,12:00:00,1.68957,1.69905,1.68938,1.69381
2020-03-05,16:00:00,1.69381,1.70175,1.69299,1.69878
2020-03-05,20:00:00,1.69879,1.70139,1.6962,1.6962
2020-03-06,00:00:00,1.69619,1.70618,1.69326,1.703
2020-03-06,04:00:00,1.703,1.70364,1.69513,1.69626
2020-03-06,08:00:00,1.69625,1.70588,1.69301,1.705
2020-03-06,12:00:00,1.70499,1.7108,1.70198,1.70599
2020-03-06,16:00:00,1.706,1.70738,1.70307,1.70454
2020-03-06,20:00:00,1.70453,1.70529,1.69903,1.69918
2020-03-08,20:00:00,1.71694,1.72481,1.7135,1.72204
2020-03-09,00:00:00,1.72206,1.82068,1.71662,1.75069
2020-03-09,04:00:00,1.75069,1.75242,1.73817,1.74687
2020-03-09,08:00:00,1.74684,1.74707,1.72103,1.73061
2020-03-09,12:00:00,1.73065,1.74162,1.70875,1.71564
2020-03-09,16:00:00,1.71568,1.74121,1.71472,1.73695
2020-03-09,20:00:00,1.73693,1.74034,1.72675,1.72761
2020-03-10,00:00:00,1.72765,1.74069,1.72336,1.73222
2020-03-10,04:00:00,1.73219,1.73657,1.72858,1.73565
2020-03-10,08:00:00,1.73563,1.73721,1.72456,1.7324
2020-03-10,12:00:00,1.73245,1.75308,1.73224,1.75308
2020-03-10,16:00:00,1.75313,1.7533,1.73653,1.74259
2020-03-10,20:00:00,1.74257,1.74443,1.73294,1.74213
2020-03-11,00:00:00,1.74208,1.74421,1.73694,1.73911
2020-03-11,04:00:00,1.7391,1.74799,1.73678,1.73758
2020-03-11,08:00:00,1.73758,1.7386,1.73164,1.73586
2020-03-11,12:00:00,1.73586,1.74156,1.72893,1.73207
2020-03-11,16:00:00,1.73208,1.7387,1.72869,1.73737
2020-03-11,20:00:00,1.7374,1.73983,1.73409,1.73856
2020-03-12,00:00:00,1.73856,1.75567,1.73766,1.75154
2020-03-12,04:00:00,1.75152,1.75577,1.74677,1.75294
2020-03-12,08:00:00,1.75293,1.76096,1.74429,1.75998
2020-03-12,12:00:00,1.75999,1.77405,1.75813,1.76497
2020-03-12,16:00:00,1.76502,1.77462,1.74753,1.77462
2020-03-12,20:00:00,1.77465,1.79839,1.77053,1.78214
2020-03-13,00:00:00,1.78213,1.78569,1.76821,1.78252
2020-03-13,04:00:00,1.78249,1.78546,1.77282,1.77922
2020-03-13,08:00:00,1.77917,1.78249,1.7668,1.76964
2020-03-13,12:00:00,1.76962,1.80114,1.76395,1.79703
2020-03-13,16:00:00,1.79704,1.81076,1.78004,1.78401
2020-03-13,20:00:00,1.78402,1.79907,1.78402,1.79267
2020-03-15,20:00:00,1.79345,1.82119,1.77592,1.8055
2020-03-16,00:00:00,1.80554,1.82156,1.79866,1.8038
2020-03-16,04:00:00,1.80381,1.81953,1.79813,1.81756
2020-03-16,08:00:00,1.81756,1.82031,1.80563,1.81183
2020-03-16,12:00:00,1.81186,1.83236,1.8045,1.81602
2020-03-16,16:00:00,1.81606,1.82659,1.81311,1.82396
2020-03-16,20:00:00,1.82398,1.83353,1.82332,1.82916
2020-03-17,00:00:00,1.82928,1.83171,1.81502,1.82535
2020-03-17,04:00:00,1.82533,1.8404,1.82178,1.83053
2020-03-17,08:00:00,1.83056,1.83967,1.82739,1.83448
2020-03-17,12:00:00,1.83444,1.84063,1.82298,1.83533
2020-03-17,16:00:00,1.83538,1.84254,1.83051,1.83556
2020-03-17,20:00:00,1.83561,1.84085,1.82551,1.83878
2020-03-18,00:00:00,1.8389,1.84014,1.82943,1.83207
2020-03-18,04:00:00,1.83209,1.84028,1.82999,1.83729
2020-03-18,08:00:00,1.83731,1.85773,1.83731,1.85592
2020-03-18,12:00:00,1.85594,1.86797,1.84818,1.86088
2020-03-18,16:00:00,1.8609,1.89468,1.85608,1.87921
2020-03-18,20:00:00,1.87925,1.89963,1.87828,1.88911
2020-03-19,00:00:00,1.88928,1.98,1.88334,1.96015
2020-03-19,04:00:00,1.96015,1.96022,1.88559,1.91335
2020-03-19,08:00:00,1.91337,1.91519,1.86988,1.87035
2020-03-19,12:00:00,1.87039,1.88306,1.80279,1.82834
2020-03-19,16:00:00,1.82832,1.85966,1.8185,1.85635
2020-03-19,20:00:00,1.8564,1.87891,1.85282,1.85481
2020-03-20,00:00:00,1.85468,1.8659,1.81772,1.82941
2020-03-20,04:00:00,1.82933,1.84088,1.80106,1.81466
