<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.27	07:00:00	1.57487	1.57550	1.57374	1.57421	1934	0	14
2022.12.27	08:00:00	1.57424	1.57624	1.57390	1.57508	2348	0	14
2022.12.27	09:00:00	1.57511	1.57657	1.57374	1.57644	1879	0	14
2022.12.27	10:00:00	1.57641	1.58153	1.57606	1.58064	2059	0	14
2022.12.27	11:00:00	1.58066	1.58190	1.58037	1.58096	1800	0	14
2022.12.27	12:00:00	1.58097	1.58176	1.57873	1.57942	1873	0	14
2022.12.27	13:00:00	1.57947	1.57960	1.57646	1.57803	2976	0	14
2022.12.27	14:00:00	1.57800	1.57861	1.57578	1.57705	2852	0	14
2022.12.27	15:00:00	1.57703	1.57969	1.57530	1.57943	3586	0	14
2022.12.27	16:00:00	1.57944	1.58171	1.57944	1.58014	2545	0	14
2022.12.27	17:00:00	1.58010	1.58012	1.57764	1.57912	2000	0	14
2022.12.27	18:00:00	1.57916	1.58027	1.57801	1.58026	1603	0	14
2022.12.27	19:00:00	1.58028	1.58177	1.58004	1.58029	1699	0	14
2022.12.27	20:00:00	1.58032	1.58110	1.58031	1.58097	1527	0	14
2022.12.27	21:00:00	1.58100	1.58113	1.57939	1.57988	685	0	14
2022.12.27	22:00:00	1.57937	1.58107	1.57786	1.58033	357	0	57
2022.12.27	23:00:00	1.58059	1.58104	1.57962	1.58062	713	0	36
2022.12.28	00:00:00	1.58072	1.58150	1.57969	1.57993	1465	0	14
2022.12.28	01:00:00	1.57997	1.58059	1.57875	1.58053	2087	0	14
2022.12.28	02:00:00	1.58050	1.58061	1.57580	1.57767	1657	0	14
2022.12.28	03:00:00	1.57771	1.57887	1.57695	1.57877	1255	0	14
2022.12.28	04:00:00	1.57874	1.57892	1.57698	1.57871	1261	0	14
2022.12.28	05:00:00	1.57874	1.57880	1.57642	1.57659	1543	0	14
2022.12.28	06:00:00	1.57658	1.57685	1.57548	1.57601	1399	0	14
2022.12.28	07:00:00	1.57598	1.57598	1.57318	1.57318	2043	0	14
2022.12.28	08:00:00	1.57316	1.57407	1.57141	1.57211	2788	0	14
2022.12.28	09:00:00	1.57214	1.57432	1.57135	1.57298	2255	0	14
2022.12.28	10:00:00	1.57294	1.57304	1.56968	1.56968	2128	0	14
2022.12.28	11:00:00	1.56967	1.56970	1.56703	1.56871	2137	0	14
2022.12.28	12:00:00	1.56867	1.56883	1.56625	1.56625	2331	0	14
2022.12.28	13:00:00	1.56628	1.56836	1.56530	1.56783	2371	0	14
2022.12.28	14:00:00	1.56781	1.57078	1.56717	1.56878	3015	0	14
2022.12.28	15:00:00	1.56881	1.57201	1.56839	1.57193	3595	0	14
2022.12.28	16:00:00	1.57196	1.57472	1.57112	1.57317	2452	0	14
2022.12.28	17:00:00	1.57318	1.57478	1.57245	1.57260	1935	0	14
2022.12.28	18:00:00	1.57256	1.57529	1.57169	1.57427	1779	0	14
2022.12.28	19:00:00	1.57424	1.57599	1.57400	1.57420	1658	0	14
2022.12.28	20:00:00	1.57416	1.57533	1.57405	1.57520	1542	0	14
2022.12.28	21:00:00	1.57517	1.57530	1.57437	1.57438	539	0	14
2022.12.28	22:00:00	1.57390	1.57541	1.57276	1.57486	335	0	57
2022.12.28	23:00:00	1.57500	1.57563	1.57407	1.57524	934	0	24
2022.12.29	00:00:00	1.57534	1.57572	1.57342	1.57514	1313	0	14
2022.12.29	01:00:00	1.57511	1.57613	1.57389	1.57590	1725	0	14
2022.12.29	02:00:00	1.57593	1.57728	1.57560	1.57652	1043	0	14
2022.12.29	03:00:00	1.57653	1.57679	1.57442	1.57461	1172	0	14
2022.12.29	04:00:00	1.57458	1.57533	1.57327	1.57383	872	0	14
2022.12.29	05:00:00	1.57387	1.57566	1.57284	1.57566	1055	0	14
2022.12.29	06:00:00	1.57569	1.57644	1.57473	1.57573	1233	0	14
2022.12.29	07:00:00	1.57569	1.57978	1.57546	1.57909	1607	0	14
2022.12.29	08:00:00	1.57906	1.58145	1.57887	1.57959	2290	0	14
2022.12.29	09:00:00	1.57962	1.58334	1.57962	1.58320	2163	0	14
2022.12.29	10:00:00	1.58323	1.58417	1.58236	1.58333	2171	0	14
2022.12.29	11:00:00	1.58331	1.58443	1.58280	1.58427	1776	0	14
2022.12.29	12:00:00	1.58423	1.58566	1.58379	1.58566	1841	0	14
2022.12.29	13:00:00	1.58569	1.58629	1.58169	1.58188	2953	0	14
2022.12.29	14:00:00	1.58192	1.58195	1.57484	1.57570	3537	0	14
2022.12.29	15:00:00	1.57566	1.57793	1.57516	1.57707	3597	0	14
2022.12.29	16:00:00	1.57703	1.57747	1.57375	1.57386	2133	0	14
2022.12.29	17:00:00	1.57384	1.57546	1.57309	1.57529	1862	0	14
2022.12.29	18:00:00	1.57528	1.57559	1.57396	1.57428	1575	0	14
2022.12.29	19:00:00	1.57425	1.57440	1.57321	1.57338	1225	0	14
2022.12.29	20:00:00	1.57342	1.57445	1.57322	1.57364	1163	0	14
2022.12.29	21:00:00	1.57367	1.57387	1.57266	1.57303	640	0	14
2022.12.29	22:00:00	1.57283	1.57403	1.57202	1.57371	401	0	57
2022.12.29	23:00:00	1.57428	1.57602	1.57342	1.57558	782	0	36
2022.12.30	00:00:00	1.57570	1.57898	1.57488	1.57666	1698	0	14
2022.12.30	01:00:00	1.57665	1.57687	1.57514	1.57568	1629	0	14
2022.12.30	02:00:00	1.57565	1.57584	1.57243	1.57243	1305	0	14
2022.12.30	03:00:00	1.57240	1.57430	1.57135	1.57403	1238	0	14
2022.12.30	04:00:00	1.57407	1.57500	1.57314	1.57318	859	0	14
2022.12.30	05:00:00	1.57316	1.57347	1.57052	1.57067	1509	0	14
2022.12.30	06:00:00	1.57071	1.57186	1.56997	1.57074	1520	0	14
2022.12.30	07:00:00	1.57071	1.57188	1.56912	1.57051	1779	0	14
2022.12.30	08:00:00	1.57047	1.57187	1.56922	1.56987	2589	0	14
